# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD02/030505.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
rabbit .
glasses . 9601_12601
vacuum . 12602_15151
elephant . 15152_17952
zebra . 20002_23002
zoo . 26803_29803
brush . 29954_32954
blue . 53351_56351
feather . 58201_61201
green . 61352_64352
shovel . 73353_76353
that . 89254_92254
there . 112601_115601
guitar . 117952_120952
stretch . 131703_134703
popcorn . 137704_140704
mother . 146150_149150
father . 150900_153900
behind . 166052_169052
yes . 172103_175103
you . 177803_180803
present . 183553_186553
thankyou . 197700_200700
please . 203501_206501
strawberry . 207401_210401
flower . 215202_218202
vase . 221202_224202
hammer . 227452_230452
nail . 230453_233052
hanger . 243604_246604
nothing . 252505_255505
ladder . 256855_259855
magician . 277501_280501
other . 284752_287752
rocket . 290605_293605
space . 294305_297305
teacher . 303701_306701
finger . 328403_331403
chair . 332353_335353
thirsty . 339954_342954
zipper . 347405_350405
screw . 354800_357800
shower . 364251_367251
theirs . 368602_371602
thunder . 374253_377253
treehouse . 378403_381403
drum . 381404_384303
water . 395505_398505
zero . 400650_403650
three . 410551_413551
brother . 529802_532802
frenchfries . 535753_538753
crayons . 556905_559905
grapes . 562701_565701
slippers . 567701_570701
jumping . 571701_574701
princess . 581201_584201
thermometer . 594003_597003
bath . 603854_606854
bathi . 606855_609104
frog . 610654_613654
frogi . 636602_639602
car . 640253_643253
cari . 643254_645104
leaf . 645254_648254
leafi . 648255_650254
cup . 650255_653104
cupi . 653105_655854
witch . 655855_658754
witchi . 658755_661304
train . 661400_664400
traini . 664401_667150
square . 680002_683002
squarei . 739652_742652
ring . 744953_747953
ringi . 747954_750153
watch . 750204_753204
watchi . 753205_755754
doori . 756004_759004
door . 759005_761004
bridge . 764555_767555
bridgei . 767556_770055
robe . 770056_772951
robei . 772952_775201
tooth . 938954_941954
toothi . 941955_944404
cage . 944405_947254
cagei . 947355_950355
spring . 950356_952705
springi . 952706_954705
running . 955600_958600
run . 958601_960600
break . 960601_962600
breaking . 963001_966001
riding . 969401_972401
ride . 972402_974652
rub . 974653_976702
rubbing . 976703_978852
shave . 981453_984453
shaving . 984454_987005
crash . 987705_990705
crashing . 991701_994701
falling . 995701_998701
fall . 998702_1000501
raining . 1004902_1007902
rain . 1007903_1010402
stir . 1010403_1012653
stirring . 1012903_1015903
rake . 1023354_1026354
raking . 1026355_1028855
read . 1043851_1046851
reading . 1046852_1049201
driving . 1054202_1057202
drive . 1057203_1059602
throwing . 1064203_1067203
throw . 1069003_1072003
