# language_name_wals:	Asmat
# language_name_glotto:	Tamnim Citak
# iso639_3:	tml
# year_composed:	1960-1962
# year_published:	1965
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous speeches
# writing_system:	Latn
# special_characters:	Voorhoeve (1965), p. 20 (footnote 5) describes the following special characters: [ɛ] is written as <è>; prolongation of vowels is indicated by a macron, e.g. <ō>; the alveopalatal nasal is written <nj>; the voiceless glottal fricative is written <h>. Furthermore, [′m] is written <′m>, [ts] is <ts>, and [pr] is <pr>. The central vowel [ĕ] is also explicitely written <ĕ>. Accented vowels are marked with accute accents: <é>, <í>, <á>, <ú>, <ó>.
# short_description:	Voorhoeve (1965), p. 181 gives the following description of text II.: "Narrator: Mífekpic. He gives a brief description of the way in which a marriage is concluded."
# source:	Voorhoeve, C. L. (1965). The Flamingo Bay dialect of the Asmat language. Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde, Deel 46. 'S-Gravenhage, Martinus Nijhoff, p. 184.
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The text is given in Voorhoeve (1965) as a running text with systematic punctuation, but without further segmentation into sentences or phrases. We here attempt to further segment the text into sentences by using punctuation marks as an orientation. There are footnotes which either contain clarifications (marked with letters), or alternative spellings/pronunciations/word-forms (marked with numbers). The last sentence does not seem to be translated and hence '_ _' in the translation. It literally translates to 'then not' and probably means 'the end'.

<line_1>	jipít , jéw emápoĕmá .
<translation>	The boy sits in the ceremonial house .

<line_2>	cowút , cém ará .
<translation>	The girl is at home .

<line_3>	ájimsomícĕmés cowút jimsomít , jipít jímsomit écĕmes .
<translation>	They <a> pull them up with them ; they pull the boy up with them ; they pull the girl up with them .
<footnote_a>	They = the male members of the girl's family.

<line_4>	jímsomícĕmés , cowút , jís atopómcĕmes jipít , mán fe'n ajimómcĕmés .
<translation>	They pull them up with them ; they put the girl on someone's back ; they drag the boy along with them by the wrist . <b>
<footnote_b>	The boy may try to escape to avoid being married.

<line_5>	ár enéw , a niwí cém miserím áfiwomíwcĕmés . <1> 
<translation>	Then they take them inside , into the house of his mother and father .
<footnote_1>	fíwomíwcĕmés

<line_6>	fíwomíwcĕmes <2> masĕrím , marí , á ko iním ajíwemapómcemés .
<translation>	When they've taken them inside , they make them sit down [ on the floor ] cross-legged .
<footnote_2>	fiomíwcĕmés

<line_6>	á ko jíwapómcĕmes , jokmen símtiwtamcĕmés . <3>
<translation>	They make them sit cross-legged and they <c> push the bamboo tongs towards her .
<footnote_c>	The boy's parents.
<footnote_3>	simtitámcĕmés

<line_7>	amás án co símtiwtámcĕwés .
<translation>	They push a basket with sago in it towards her .

<line_8>	marí , amás ancĕmés .
<translation>	Then they <d> eat the sago .
<footnote_d>	The bride and groom.

<line_9>	amás , sí amamtámcĕmés .
<translation>	They <e> share the sago out .
<footnote_e>	The members of the boy's family.

<line_10>	á pakajápcemes ów si amamtámcĕmes misĕrim mari , misit écĕmes misĕrim , séj in órowapómcĕmés awér kápmapómcĕmés .
<translation>	They share out the sago among all the people who are gathered there , and after that the latter get up one by one , and gently press her several times on the shoulders . <f> The awér is put on her . <g> 
<footnote_f>	At the same time they express the wish that the girl may thrive in her new home.
<footnote_g>	The awér, (sketch p. 365 [Voorhoeve (1965)]) is only worn by married women.

<line_11>	jófaj mísĕrim , marí amás mer jisomásmes .
<translation>	The following day , they <e> go away with her to the forest to get sago .
<footnote_e>	The members of the boy's family.

<line_12>	wasén , fawíc emásmewérmes .
<translation>	In the forest they make jokes all the time ;

<line_13>	fawic <4> emásmewérmes .
<translation>	all the time they make jokes . <h>
<footnote_h>	The making of jokes with the young woman , who again is carried on the back , is a set part of the ceremonial becoming acquainted with the sago garden of her husband's family.
<footnote_4>	faít

<line_14>	ci niomúwcĕmés . <5> 
<translation>	They take her with them in the canoe .
<footnote_5>	niomúcĕmés

<line_15>	fawic ésasmewérmes .
<translation>	Still joking ,

<line_16>	cém setájcĕmés .
<translation>	they come here and arrive home .

<line_17>	wun jófaj amás mer jisásmes .
<translation>	The next day they go away to the forest to get sago .

<line_18>	ófasicĕmés .
<translation>	They come back .

<line_19>	porów misĕrím , amás , cowúc , ár isipís , cém atówomiwtámcemés .
<translation>	Then , when it's evening , they take the sago inside the house of the girl's parents .

<line_20>	tówomiwtámcĕmes pók am ámutamcĕmés .
<translation>	They take it to them , and they also present them with things of value . <i>
<footnote_i>	On an occasion such as this the following can be offered: stone axes, daggers, spears, bows and arrows; feathers of the cassowary, the white cockatoo and the bird of paradise: headbands of the fur of the cuscus, necklaces made of dog's teeth and, more recently, iron axes, knives and clothes.

<line_21>	marí opák .
<translation>	_ _
