# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Eliza Kennedy (Keewong): A pig that wasn't." Donaldson (1977). p. 389 makes the following remarks about the text: "'We' refers to three women who were in their late teens at the time of this story, the narrator (Liza), Edie, and Edie's sister."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	ŋiyanuna dhariyalba: wiri:dji yuwawa:giyi
<segmentation>	ŋiyanu-na dhariyal-ba: wiri:-dji yuwa-wa:giyi
<glossing>	we+PL+NOM-EXC summer-TIME open-CIRC lie-DUR+PAST
<translation>	We used to sleep out in the open in the summertime .

<line_2>	ŋindu bawuŋga yuwagha
<segmentation>	ŋindu bawuŋ-ga yuwa-gha
<glossing>	you+NOM middle-LOC lie-IMP
<translation>	" You lie in the middle !

<line_3>	wi:wi manga:nbaɽa gaɽa
<segmentation>	wi:wi manga:n-baɽa ga-ɽa
<glossing>	hot+ABS DEGREE ADV-CATEG ASSERT be-PRES
<translation>	" It really is very hot ! "

<line_4>	ya:ylu Ediegaŋgu ŋiyiyi
<segmentation>	ya:y=lu / Edie-gaŋ-gu ŋiyiyi
<glossing>	thus=3ERG E.-NAME-ERG say+PAST
<translation>	That's what she , Edie , said .

<line_5>	guy ŋiyanigi:naŋga yanadhayŋabinji
<segmentation>	guy ŋiyanigi:-naŋ-ga yana-dha-y-ŋabi-nji
<glossing>	white man+ABS we+PL+OBL-EXC-LOC walk-REFL FOCUS-CM-AT NIGHT-PAST
<translation>	A whitefellow came after us in the night " for his own satisfaction " .

<line_6>	Ediegaŋgana magalaŋga yuwanha:ninjila
<segmentation>	Edie-gaŋ-ga=na magalaŋ-ga yuwa-nha:ni-nji-la
<glossing>	E.-NAME-LOC=3ABS back-LOC lie-ADOPT POSI-PAST-THEN
<translation>	Then he lay down at Edie's back .

<line_7>	bunibuniŋga:nhina
<segmentation>	buni-buniŋga:-nhi=na
<glossing>	REDUP-breathe-PAST=3ABS
<translation>	He was snuffling .

<line_8>	ŋalula:na Ediegaŋgu
<segmentation>	ŋalu-la:=na Edie-gaŋ-gu
<glossing>	that+ERG-EST=3ABS E.-NAME-ERG
<translation>	This ( is what ) that Edie ( said ) :

<line_9>	wa: bigibigibididju winaŋanhi
<segmentation>	wa: / bigibigi-bidi=dju winaŋa-nhi
<glossing>	Hey pig-AUG+ABS=1NOM think-PAST
<translation>	" Hey ! I thought ( there was ) a big pig ! "

<line_10>	ŋadhu mugamugambuwan baranhi
<segmentation>	ŋadhu muga-mugambuwan bara-nhi
<glossing>	I+NOM REDUP-sleep-COMIT+ABS rise-PAST
<translation>	I got up , half-asleep .

<line_11>	bigibigibaga: ŋina gaɽa ya:y
<segmentation>	bigibigi-baga: ŋina ga-ɽa / ya:y
<glossing>	pig+ABS-CNTR ASSERT this+ABS be-PRES thus
<translation>	" That's a pig indeed ! So ( that's it ) ! "

<line_12>	ŋadhuna ŋiyiyila
<segmentation>	ŋadhu=na ŋiyiyi-la
<glossing>	I+NOM=3ABS say+PAST-THEN
<translation>	I said to her then .

<line_13>	waŋa:ybaga:na bigibigi giyi
<segmentation>	waŋa:y-baga:=na bigibigi giyi
<glossing>	NEG-CNTR ASSERT=3ABS pig+ABS be+PAST
<translation>	" But that was no pig !

<line_14>	guymbaga:na giyi
<segmentation>	guym-baga:=na giyi
<glossing>	white man-CNTR ASSERT=3ABS be+PAST
<translation>	" It was a whitefellow !

<line_15>	ŋaluyna bibuwanhi
<segmentation>	ŋalu-y=na bibuwa-nhi
<glossing>	that+INST-YONDER=3ABS run-PAST
<translation>	" He ran off that ( way ) .

<line_16>	dhuwad baranhi
<segmentation>	dhuwad bara-nhi
<glossing>	shirt-ABS fly-PAST
<translation>	" ( His ) shirt ( tail ) was flying . "

<line_17>	giyanhdhayŋabinjila ŋiyanuna
<segmentation>	giyanhdha-y-ŋabi-nji-la ŋiyanu-na
<glossing>	fear-CM-AT NIGHT-PAST-THEN we+PL+NOM-EXC
<translation>	Then we were afraid at night .

<line_18>	ŋadhu bawuŋga yuwagiri
<segmentation>	ŋadhu bawuŋ-ga yuwa-giri
<glossing>	I+NOM middle-LOC lie-PURP
<translation>	" I must lie in the middle ! "

<line_19>	ya:ylu Ediegaŋgu ŋiyalŋabinji
<segmentation>	ya:y=lu Edie-gaŋ-gu ŋiya-l-ŋabi-nji
<glossing>	thus=3ERG E.-NAME-ERG say-CM-AT NIGHT-PAST
<translation>	That's what she said at night , Edie . 

<line_20>	magaŋgu ga:dhi:ŋgulugu
<segmentation>	magaŋ-gu ga:dhi:ŋ-gu=lugu
<glossing>	other-ERG sister-ERG=3GEN
<translation>	Her other sister ( said ) ,

<line_21>	waŋa:y ŋindu bawuŋga yuwayaga
<segmentation>	waŋa:y ŋindu bawuŋ-ga yuwa-y-aga
<glossing>	NEG you+NOM middle-LOC lie-CM-IRR
<translation>	" You're not going to lie in the middle !

<line_22>	ŋadhu bawuŋga yuwagiri Lizaga nhiri:nda
<segmentation>	ŋadhu bawuŋ-ga yuwa-giri / Liza-ga nhiri:n-da
<glossing>	I+NOM lie-PURP L.-NAME+ABS outside-LOC
<translation>	" I must lie in the middle , ( with ) Liza on the outside . "

<line_23>	ya:nhdhula: gunhdhu ŋiyaniŋgi:na giyanhdhaybaganmiyila
<segmentation>	ya:nhdhu-la: gunh-dhu ŋiyaniŋgi:-na giyanhdha-y-baganmiyi-la
<glossing>	at that time-EST white man-ERG we+PL+OBL-EXC fear-CM-CAUS+PAST-THEN
<translation>	At the finish the whitefellow had us frightened .
