# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1973
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/ComptonPater/Trevor/010514.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
goat .
goat .
soap .
hot .
cracker .
cracker .
cookie .
moon .
no moon .
duck .
bike .
horse .
chair .
chair .
chocolate .
spoon .
help .
get it .
hot .
cold .
cold .
no .
apple .
open .
pear .
raisin .
raisin .
dish .
dish .
Denise .
train .
train .
train .
dog .
hi .
bye bye .
baby .
mama .
daddy .
mama .
daddy .
clock .
cup .
rock rock .
down .
down .
down .
down .
down .
tree .
up .
paper .
elbow .
knee .
knee .
ear .
ear .
hand .
hand .
hand .
owl .
owl .
frog .
ball .
bottle .
bus .
bus .
car .
book .
Allison .
home .
home .
home .
scissors .
scissors .
popper .
puppet .
cat .
cat .
blanket .
blocks .
button .
button .
arm .
button .
hot dog 
