# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/050022.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
car .
cari .
leaf .
leafi .
glove .
glovei .
glasses . 28103_31103
elephant . 60853_63853
plate . 64656_67656
shark . 71356_74356
teeth . 97056_100056
vanilla . 104517_107517
lemon . 112518_114518
yellow . 130817_133817
stretch . 210689_213689
present . 242638_245638
thankyou . 248788_251788
please . 251938_254938
snail . 255838_258838
chicken . 314738_317738
cloud . 323038_326038
flower . 332788_335788
vase . 343187_346187
doll . 348037_351037
hammer . 351038_353038
nail . 355938_358938
ladder . 547824_550824
thirsty . 572224_575224
sun . 575225_577924
pie . 578624_581624
drum . 584024_587024
water . 596223_599223
twelve . 630573_633573
judge . 642123_645123
jelly . 839834_842834
brother . 848734_851734
frenchfries . 860135_863135
slippers . 875785_878785
jumping . 889332_892332
light . 899331_902331
chain . 909836_912836
bath . 913785_916785
bathi . 916836_919836
thumb . 932880_935880
thumbi . 942531_945531
frogi . 991081_994081
frog . 1005385_1008385
chalk . 1290021_1293021
chalki . 1293022_1295671
juice . 1300321_1303321
juicei . 1305968_1308968
hill . 1321418_1324418
hilli . 1324419_1326668
cheese . 1347218_1350218
cheesei . 1350219_1352218
ring . 1366767_1369767
ringi . 1369768_1372367
moth . 1372368_1374967
mothi . 1374968_1377467
laugh . 1377468_1380067
laughing . 1380068_1382367
fly . 1388168_1390933
flying . 1390934_1393783
smile . 1395536_1398536
smiling . 1399237_1402237
splash . 1656725_1659725
splashing . 1680775_1683775
blow . 1689025_1692025
blowing . 1692026_1694025
ride . 1694026_1696775
riding . 1702275_1705275
rub . 1711275_1714275
rubbing . 1714276_1717275
shave . 1717276_1719275
shaving . 1722025_1725025
fall . 1725026_1727629
falling . 1727630_1730029
sleep . 1730030_1732274
sleeping . 1732275_1734779
rain . 1736879_1739879
raining . 1739880_1742479
climb . 1742480_1745379
climbing . 1746779_1749779
read . 1749780_1752079
reading . 1752080_1754479
throw . 1754480_1757079
throwing . 1757080_1759829
