# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Xaogioso. It is a story about a small baby (Tixohóí) who during the night falls off the bed and near the fire.
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "01_KATO'S BABY FALLS NEAR THE FIRE.pdf".

<line_1.1>	ti xahoa-gI ti iga O-p-I-xi hi igA xai baIgipOhoasi KatO hi o *-b-a-p-I-aag-oxoihI KatO
<glossing>	1_PRP day_NN-real 1_PRP speak_VB vertical_move_VB-up-proximate-DECL 3_PRP speak_VB do_VB BaIgipOhoasi_NNP Kato_NNP 3_PRP eye_NN *-down-vertical-up-proximate-be-INTER Kato_NNP
<translation>	Early in the day I spoke. BaIgipOhoasi spoke carried sound. Is Kato sleepy?

<line_1.2>	hi hoaI ib-a-b-og-aA
<glossing>	3_PRP fire_NN hit_VB-move-down-want-almost
<translation>	He TixohOI fell by the fire.

<line_1.3>	ti igA xai-ai hi big a-I * is-Aaga-haI TixohOI
<glossing>	1_PRP speak_VB do_VB-INTENS 3_PRP ground_NN move_vertical_VB-proximate * cry_VB-be-REL_CERT TixohOI_NNP
<translation>	I spoke carried sound. TixohOI is crying on the ground

<line_1.4>	* hoaI *-b-o-i-hI pixAi-xIga
<glossing>	* fire_NN *-down-direct-proximate-COMPL_CERT now_RB-EMPH
<translation>	He fell by the fire right now.

<line_1.5>	ti xaigIA igA xai-ai xaI Xopisi hi o-b-a-hohI pixAi-xIga TixohOI
<glossing>	1_PRP thus_RB speak_VB do_VB-INTENS thus_RB Xopisi_NNP 3_PRP vertical_move_VB-down-remote-INTER now_RB-EMPH TixohOI_NNP
<translation>	I spoke to Opisi. 'Did TixohOI burn himself just now?'

<line_1.6>	* hoai Is-aagA-haI
<glossing>	* fire_NN cry_VB-be-REL_CERT
<translation>	He is by the fire crying.

<line_1.7>	hi o-b-a-hoi-hI pixAi-xIga
<glossing>	3_PRP vertical_move_VB-down-remote-doubt-INTER now_RB-EMPH
<translation>	Did he burn himself right now?

<line_1.8>	ti xaigIa igA xai-ai xaI ti aigIa hi xoi-si kaop-aI
<glossing>	1_PRP thus_RB speak_VB do_VB-INTENS then_RB 1_PRP thus_RB 3_PRP jungle_NN-old_info seek_out_VB-do
<translation>	I spoke. Well I will go pick him up.

<line_1.9>	hi Ao big *-o-b Ao-p-aI-xai
<glossing>	3_PRP mouth_NN dirt_NN *-direct-down put_VB-up-do-INTENS
<translation>	He is really putting dirt up in his mouth on the ground

<line_1.10>	ti xaigIa igA xai-aI xopIsi hi o *-b a-p-I-aag-ag-i-sahaxaI
<glossing>	1_PRP thus_RB speak_VB do_VB-INTENS Xopisi_NNP 2_PRP eye_NN *-down move_vertical-up-proximate-be-DUR-transitional_vowel-PROHIBITIVE
<translation>	Thus I spoke.  Xopisi, don't be so sleepy lazy!

<line_1.11>	* hoaI *-b-O-i-hI pixAi-xIga
<glossing>	* fire_NN *-down-direct-proximate-COMPL_CERT now_RB-EMPH
<translation>	He just fell by the fire.

<line_1.12>	hI O-b-a-hoihI
<glossing>	3_PRP direct_VB-down-remote-INTER
<translation>	Did he burn himself?  lit: Did he fall directly down on the fire?

<line_1.13>	xigaOxixaihoai hi aigIa igA xai-haxA katO hi o *-b-a-p-I-ai-hI
<glossing>	Tixohoi's_other_name_NNP 3_PRP thus_RB speak_VB do_VB-COMPL_CERT Kato_NNP 2_PRP eye_NN *-down-vertical-up-proximate-do-COMPL_CERT
<translation>	XigaOxixaihoai then spoke.  Kato are you sleeping?

<line_1.14>	gIxai piihI hOi-kOoI pixAi-xIga hoaI *
<glossing>	2_PRP favorite_JJ child_NN-permanent_property now_RB-EMPH fire_NN *
<translation>	Your young first born son is by the fire now.

<line_1.15>	hi aigIa igA xai xahaig OtI-ha xaI hi igA xai-xai * hoaI-b-O-i-hI * hoaI-b-O-i-hI pixAi-xIga
<glossing>	3_PRP thus_RB speak_VB do_VB sibling_NN angry_JJ-COMPL_CERT do_VB 3_PRP speak_VB do_VB-INTENS * fire_NN-down-direct-proximate-REL_CERT * fire_NN-down-direct-proximate-REL_CERT now_RB-EMPH
<translation>	She said my sister is angry she said, "Did he fall in the fire?  Did he fall in the fire just now?"

<line_1.16>	hi o-b-a-hoihI tixohOI
<glossing>	3_PRP vertical_move_VB-down-remote-INTER TixohOI_NNP
<translation>	Did TixohOi burn himself? lit: fall directly on the fire

<line_1.17>	* hoaI is-Aaga-haI
<glossing>	* fire_NN cry_VB-be-REL_CERT
<translation>	He is crying by the fire.

<line_1.18>	tIi xaigIa igA xai-ai xaI xopIsi hi o-b-a-hoihI pixAi-xIga
<glossing>	1_PRP thus_RB speak_VB do_VB-INTENS thus_RB Xopisi_NNP 3_PRP vertical_move_VB-down-remote-INTER now_RB-EMPH
<translation>	I then spoke.  Well Opisi, did he burn himself now?

<line_1.19>	xaI xoI hi aigIa ahaig Oti *-haxA
<glossing>	thus_RB XoI_NNP 3_PRP thus_RB sibling_NN angry_JJ *-COMPL_CERT
<translation>	Well XoI the relative is very angry.

<line_1.20>	xoI hi igA xai-xi hoagaixoxai hi o *-b-a-p-I ai-hI gIxai xigihI *
<glossing>	XoI_NNP 3_PRP speak_VB do_VB-COMPL_CERT Hoagaixoxai_NNP 2_PRP eye_NN *-down-vertical-up-proximate do_VB-INTER 2_PRP man_NN *
<translation>	XoI spoke.  Hoagaixoxai are you sleepy lit: are your eyes fluttering? Are you a man?

<line_1.21>	hi hoA xo Agi-ti-ig-o-p-i-haiba-haI
<glossing>	3_PRP son_NN hand_NN grab_VB-pull-com-vertical_movement-up-proximate-NEG-REL_CERT
<translation>	He will not go get his son.  lit: He will not move in the environment to pick up and bring back his son

<line_1.22>	hi big-O * hi biIi-gi-O *
<glossing>	3_PRP ground_NN-LOC * 3_PRP ground_NN-under-LOC *
<translation>	He is on the ground, under the ground digging himself in

<line_1.23>	hi go-O ti Oo-s aaga * bAas A-p-ai
<glossing>	3_PRP FOCUS_RP-directional 1_PRP eye_NN-NEG be_VB * sleeping_platform_NN move_vertical_VB-up-be
<translation>	'Where is he?  I do not know.' one speaker to the other 'His hips are near the head of the bed. answer to first speaker

<line_1.24>	kos ai gAi big-O kos ai gAi big-O
<glossing>	face_NN be_VB there_RB ground_NN-LOC face_NN be_VB there_RB ground_NN-LOC
<translation>	His face is there on the ground.  It is there on the ground.

<line_1.25>	xaI ti aigIa hI Xoi kaob-Ibai katO
<glossing>	then_RB 1_PRP thus_RB 3_PRP jungle_NN seek_out_VB-frustrated_completion KatO_NNP
<translation>	Well I nearly went to see Kato.

<line_1.26>	ti xi osibAop-Abag-aO
<glossing>	1_PRP 3fem_PRP shout_VB-frustrated_initiation-COMPLETIVE
<translation>	Then I nearly cried out so she'd pick him up.  lit:  I almost cried to her such that she picked him up.

<line_1.27>	xigIa * igA xai katO hi o *-b-a-p-I-a
<glossing>	okay_UH * speak_VB do_VB KatO_NNP 3_PRP eye_NN *-down-vertical-up-proximate-COMPL_CERT
<translation>	But I spoke.  Kato is sleepy. lit:Kato's eyes are fluttering

<line_1.28>	katO ti xaigIa ib-A-b-o-I-ta-g-ab-AbagaI
<glossing>	KatO_NNP 1_PRP thus_RB hit_VB-vertical-down-direct-proximate-repetitive-want-DUR-frustrated_initiation
<translation>	Well I almost started to go and beat KatO.

<line_1.29>	hi o *-b-a-p-I-o aI-hI
<glossing>	3_PRP eye_NN *-down-vertical-up-proximate-direct do_VB-INTER
<translation>	Is he sleeping?

<line_1.30>	ti aigIa hi xoa-o-p aI-xai
<glossing>	1_PRP thus_RB 3_PRP hand_NN-direct-up do_VB-EMPH
<translation>	Well then I went and picked him up.

<line_1.31>	xopIsi hi aigIa igA xai-hI katO hi o *-b-a-p-I-bAaI
<glossing>	XopIsi_NNP 3_PRP thus_RB speak_VB do_VB-INTER KatO_NNP 3_PRP eye_NN *-down-vertical-up-proximate-INTENS
<translation>	XopIsi spoke.  Is KatO intensely sleepy?

<line_1.32>	xi hi xoA gi-ti-ig-A-o-p-I-hiaba-haI
<glossing>	3fem_PRP 3_PRP hand_NN grab_VB-pull-com-vertical-direct-up-proximate-NEG-REL_CERT
<translation>	She will not go and pick him up.

<line_1.34>	ti aigIa hi o ah-A-p-i-ta-I
<glossing>	1_PRP thus_RB 3_PRP hand_NN go_VB-vertical-up-transition-iterative-proximate
<translation>	Well then I went to pull him up again.

<line_1.35>	* hI xoI-si kaop-aI
<glossing>	* 3_PRP jungle_NN-old_info seek_out_VB-do
<translation>	I went up to him.  3 person can be used for 1 person in texts, as the speaker takes a 'narrative perspective'

<line_1.36>	hi O-b-o-i hi ai-hI baOsaI
<glossing>	3_PRP turn_VB-down-direct-proximate 3_PRP do_VB-INTER cloth_NN
<translation>	Is he all wrapped up in the cloth? lit: He is turned down/tied.  Is it being the cloth?

<line_1.37>	hi O-xai xi xai hi O-xai hi O-xaagA
<glossing>	3_PRP turn_VB-be 3fem_PRP be_VB 3_PRP turn_VB-be 3_PRP turn_VB-be
<translation>	He is in the cloth.  He is.  He is in.  He is being in.

<line_1.38>	xigaOxixaihoAi hi aigIa ti Ahai xoa *-O-p a-hA bAIgipOhoasi
<glossing>	XigaOxixaihoAi_NNP 3_PRP thus_RB 1_PRP sibling_NN hand_NN *-direct-up vertical_move_VB-COMPL_CERT BAIgipOhoasi_NNP
<translation>	Well then my sister, BAIgipOhoasi, took XigaOxixaihoAi.

<line_1.39>	ti igA xai * xaOpI *-so xahaig OtI *-sai-haxA
<glossing>	1_PRP speak_VB do_VB * angry_JJ *-COMPLETIVE sibling_NN angry_JJ *-old_info-COMPL_CERT
<translation>	I then spoke.  Sister is angry.

<line_1.40>	hi igA xai xaI hoagaIxOxaI hi o *-b-a-p-i-baA-xaO-xoi-hI
<glossing>	3_PRP speak_VB do_VB then_RB HoagaIxOxaI_NNP 3_PRP eye_NN *-down-vertical-up-proximate-INTENS-COMPLETIVE-yes_no-INTER
<translation>	She spoke.  Well is Hoagaixoxai really sleepy?

